Amps	Volts
0	3.6771191
0	3.6770428
0	3.67750057
0	3.67803464
0	3.67841611
0	3.67902647
0	3.67940795
0	3.67978943
0	3.68009461
0	3.68039979
0	3.68085756
0	3.68123903
0	3.68162051
0	3.68192569
0	3.68223087
0	3.68238346
0	3.68268864
0	3.68307012
0	3.68322271
0	3.68352789
1.01060502	3.66254673
1.009765774	3.63767453
1.009765774	3.62844282
1.009765774	3.62081331
1.009765774	3.61326009
1.009765774	3.60410468
1.009689479	3.59327077
1.009765774	3.57953765
1.009765774	3.56336309
1.009689479	3.54459449
1.009765774	3.52307927
1.009689479	3.49912261
1.009842069	3.47135119
1.009842069	3.43884947
1.009842069	3.39925231
1.009613184	3.34752422
1.009765774	3.27504387
1.009689479	3.15457389
1.009536889	3
0	3.01518273
0	3.30746929
0	3.32524605
0	3.33463035
0	3.34103914
0	3.34546426
0	3.34889754
0	3.35156786
0	3.3540856
0	3.35606928
0	3.35767147
4.542000458	3.46066987
4.544136721	3.69062333
4.544060426	3.77515831
4.544289311	3.8268864
4.544060426	3.83970397
4.544060426	3.84817273
4.543984131	3.85854887
4.543984131	3.86823835
4.544289311	3.87884337
4.544060426	3.88838025
4.544060426	3.89868009
4.544213016	3.90836957
4.544136721	3.91790646
4.544289311	3.92637522
4.544060426	3.9329366
4.544136721	3.9391928
4.544060426	3.9437705
4.543984131	3.94872969
4.543984131	3.95300221
4.544365606	3.95811398
4.544213016	3.96353094
4.544365606	3.9688716
4.544060426	3.97535668
4.543984131	3.98092622
4.544136721	3.98779278
4.544136721	3.99397269
4.544060426	4.00061036
4.544213016	4.00717174
4.544060426	4.01373312
4.544365606	4.02143893
4.543907836	4.02853437
4.543984131	4.03692683
4.544213016	4.04493782
4.544136721	4.05386435
4.544060426	4.06309606
4.543984131	4.07278553
4.544213016	4.08354314
4.544136721	4.09414817
4.543984131	4.10620279
4.544060426	4.11825742
4.544060426	4.13122759
4.544136721	4.14465553
4.544136721	4.15854124
4.544060426	4.17364767
4.544136721	4.18867781
4.544060426	4.20508125
4.544213016	4.22186618
4.544060426	4.23971923
4.543984131	4.25757229
4.544213016	4.27588312
