Time	Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	Temp8
3/27/24	11:35	-0.001	19.408	1	1	0	0	0
3/27/24	11:35	0.005	19.391	1	1	0.08	0.08	0
3/27/24	11:35	-0.004	19.375	1	1	0.17	0.17	0
3/27/24	11:35	-0.002	19.375	1	1	0.25	0.25	0
3/27/24	11:36	0.003	19.359	1	1	0.33	0.33	0
3/27/24	11:36	-0.002	19.359	1	1	0.42	0.42	0
3/27/24	11:36	-0.003	19.342	1	1	0.5	0.5	0
3/27/24	11:36	0.005	19.342	1	1	0.58	0.58	0
3/27/24	11:36	-0.004	19.342	1	1	0.67	0.67	0
3/27/24	11:36	-0.003	19.342	1	1	0.75	0.75	0
3/27/24	11:36	-0.002	19.342	1	1	0.83	0.83	0
3/27/24	11:36	-0.002	19.342	1	1	0.92	0.92	0
3/27/24	11:36	-0.001	19.342	1	1	1	1	0
3/27/24	11:36	0.003	19.359	1	1	1.08	1.08	0
3/27/24	11:36	0.004	19.359	1	1	1.17	1.17	0
3/27/24	11:36	-0.005	19.375	1	1	1.25	1.25	0
3/27/24	11:37	0.006	19.375	1	1	1.33	1.33	0
3/27/24	11:37	0.006	19.375	1	1	1.42	1.42	0
3/27/24	11:37	-0.003	19.375	1	1	1.5	1.5	0
3/27/24	11:37	0.003	19.391	1	1	1.58	1.58	0
3/27/24	11:37	0.001	19.391	1	1	1.67	1.67	0
3/27/24	11:37	0.002	19.408	1	1	1.75	1.75	0
3/27/24	11:37	0.006	19.408	1	1	1.83	1.83	0
3/27/24	11:37	0.006	19.408	1	1	1.92	1.92	0
3/27/24	11:37	-0.002	19.408	1	1	2	2	0
3/27/24	11:37	-0.002	19.408	1	1	2.08	2.08	0
3/27/24	11:37	0.006	19.391	1	1	2.17	2.17	0
3/27/24	11:37	0.003	19.391	1	1	2.25	2.25	0
3/27/24	11:38	0.002	19.359	1	1	2.33	2.33	0
3/27/24	11:38	-0.004	19.359	1	1	2.42	2.42	0
3/27/24	11:38	-0.005	19.342	1	1	2.5	2.5	0
3/27/24	11:38	0.005	19.342	1	1	2.58	2.58	0
3/27/24	11:38	0.001	19.342	1	1	2.67	2.67	0
3/27/24	11:38	0.002	19.342	1	1	2.75	2.75	0
3/27/24	11:38	0.005	19.342	1	1	2.83	2.83	0
3/27/24	11:38	-0.005	19.342	1	1	2.92	2.92	0
3/27/24	11:38	0.006	19.342	1	1	3	3	0
3/27/24	11:38	0.001	19.342	1	1	3.08	3.08	0
3/27/24	11:38	0.005	19.359	1	1	3.17	3.17	0
3/27/24	11:38	-0.006	19.359	1	1	3.25	3.25	0
3/27/24	11:39	-0.002	19.375	1	1	3.33	3.33	0
3/27/24	11:39	0.001	19.375	1	1	3.42	3.42	0
3/27/24	11:39	0.002	19.391	1	1	3.5	3.5	0
3/27/24	11:39	-0.003	19.391	1	1	3.58	3.58	0
3/27/24	11:39	-0.004	19.408	1	1	3.67	3.67	0
3/27/24	11:39	0.002	19.408	1	1	3.75	3.75	0
3/27/24	11:39	0.002	19.408	1	1	3.83	3.83	0
3/27/24	11:39	-0.001	19.408	1	1	3.92	3.92	0
3/27/24	11:39	0.003	19.424	1	1	4	4	0
3/27/24	11:39	0.006	19.408	1	1	4.08	4.08	0
3/27/24	11:39	-0.005	19.408	1	1	4.17	4.17	0
3/27/24	11:39	0	19.391	1	1	4.25	4.25	0
3/27/24	11:40	0.006	19.391	1	1	4.33	4.33	0
3/27/24	11:40	0.006	19.391	1	1	4.42	4.42	0
3/27/24	11:40	0.003	19.375	1	1	4.5	4.5	0
3/27/24	11:40	-0.001	19.359	1	1	4.58	4.58	0
3/27/24	11:40	0.002	19.359	1	1	4.67	4.67	0
3/27/24	11:40	0.001	19.359	1	1	4.75	4.75	0
3/27/24	11:40	-0.001	19.359	1	1	4.83	4.83	0
3/27/24	11:40	0	19.359	1	1	4.92	4.92	0
3/27/24	11:40	0	19.359	1	1	5	5	0
3/27/24	11:40	0.002	19.359	1	1	5.08	5.08	0
3/27/24	11:40	0.005	19.375	1	1	5.17	5.17	0
3/27/24	11:40	-0.005	19.375	1	1	5.25	5.25	0
3/27/24	11:41	0.006	19.391	1	1	5.33	5.33	0
3/27/24	11:41	0.006	19.391	1	1	5.42	5.42	0
3/27/24	11:41	-0.004	19.391	1	1	5.5	5.5	0
3/27/24	11:41	0	19.408	1	1	5.58	5.58	0
3/27/24	11:41	-0.001	19.408	1	1	5.67	5.67	0
3/27/24	11:41	0.004	19.424	1	1	5.75	5.75	0
3/27/24	11:41	0.006	19.424	1	1	5.83	5.83	0
3/27/24	11:41	-0.005	19.424	1	1	5.92	5.92	0
3/27/24	11:41	-0.006	19.44	1	1	6	6	0
3/27/24	11:41	0.006	19.44	1	1	6.08	6.08	0
3/27/24	11:41	-0.005	19.44	1	1	6.17	6.17	0
3/27/24	11:41	-0.004	19.424	1	1	6.25	6.25	0
3/27/24	11:42	0.005	19.424	1	1	6.33	6.33	0
3/27/24	11:42	-0.005	19.408	1	1	6.42	6.42	0
3/27/24	11:42	-0.004	19.391	1	1	6.5	6.5	0
3/27/24	11:42	0.004	19.375	1	1	6.58	6.58	0
3/27/24	11:42	-0.003	19.375	1	1	6.67	6.67	0
3/27/24	11:42	-0.001	19.375	1	1	6.75	6.75	0
3/27/24	11:42	0.002	19.375	1	1	6.83	6.83	0
3/27/24	11:42	-0.003	19.375	1	1	6.92	6.92	0
3/27/24	11:42	0.006	19.375	1	1	7	7	0
3/27/24	11:42	-0.005	19.375	1	1	7.08	7.08	0
3/27/24	11:42	-0.001	19.375	1	1	7.17	7.17	0
3/27/24	11:42	-0.003	19.391	1	1	7.25	7.25	0
3/27/24	11:43	0.006	19.391	1	1	7.33	7.33	0
3/27/24	11:43	0.006	19.408	1	1	7.42	7.42	0
3/27/24	11:43	0.005	19.408	1	1	7.5	7.5	0
3/27/24	11:43	-0.003	19.408	1	1	7.58	7.58	0
3/27/24	11:43	0.002	19.424	1	1	7.67	7.67	0
3/27/24	11:43	0.001	19.424	1	1	7.75	7.75	0
3/27/24	11:43	0.005	19.44	1	1	7.83	7.83	0
3/27/24	11:43	0.006	19.44	1	1	7.92	7.92	0
3/27/24	11:43	-0.005	19.457	1	1	8	8	0
3/27/24	11:43	0.004	19.44	1	1	8.08	8.08	0
3/27/24	11:43	-0.002	19.44	1	1	8.17	8.17	0
3/27/24	11:43	-0.002	19.424	1	1	8.25	8.25	0
3/27/24	11:44	0.005	19.424	1	1	8.33	8.33	0
3/27/24	11:44	-0.005	19.408	1	1	8.42	8.42	0
3/27/24	11:44	-0.005	19.391	1	1	8.5	8.5	0
3/27/24	11:44	0.006	19.391	1	1	8.58	8.58	0
3/27/24	11:44	0.006	19.375	1	1	8.67	8.67	0
3/27/24	11:44	-0.005	19.375	1	1	8.75	8.75	0
3/27/24	11:44	0.006	19.359	1	1	8.83	8.83	0
3/27/24	11:44	-0.006	19.375	1	1	8.92	8.92	0
3/27/24	11:44	-0.005	19.359	1	1	9	9	0
3/27/24	11:44	0.005	19.375	1	1	9.08	9.08	0
3/27/24	11:44	0.001	19.375	1	1	9.17	9.17	0
3/27/24	11:44	-0.003	19.375	1	1	9.25	9.25	0
3/27/24	11:45	0.006	19.391	1	1	9.33	9.33	0
3/27/24	11:45	-0.005	19.391	1	1	9.42	9.42	0
3/27/24	11:45	-0.005	19.391	1	1	9.5	9.5	0
3/27/24	11:45	0.005	19.408	1	1	9.58	9.58	0
3/27/24	11:45	-0.005	19.408	1	1	9.67	9.67	0
3/27/24	11:45	-0.005	19.424	1	1	9.75	9.75	0
3/27/24	11:45	0.006	19.424	1	1	9.83	9.83	0
3/27/24	11:45	-0.003	19.44	1	1	9.92	9.92	0
3/27/24	11:45	0.006	19.44	1	1	10	10	0
3/27/24	11:45	0.006	19.44	1	2	10	10	0
3/27/24	12:06	-0.001	19.408	1	2	10	10	0
3/27/24	12:06	-0.001	19.408	1	3	10	0	0
3/27/24	12:06	0.005	19.408	1	3	10.01	0	0
3/27/24	12:06	0.005	19.408	1	5	10.01	0	0
3/27/24	12:06	0.004	19.391	1	5	10.02	0.02	0.001
3/27/24	12:06	0.005	19.391	1	5	10.04	0.03	0.001
3/27/24	12:06	0.006	19.391	1	5	10.06	0.05	0.002
3/27/24	12:06	0.001	19.391	1	5	10.07	0.07	0.003
3/27/24	12:06	-0.005	19.391	1	5	10.09	0.08	0.003
3/27/24	12:06	-0.005	19.391	1	5	10.11	0.1	0.004
3/27/24	12:06	0.001	19.375	1	5	10.12	0.12	0.004
3/27/24	12:06	-0.006	19.375	1	5	10.14	0.13	0.005
3/27/24	12:06	0.004	19.375	1	5	10.16	0.15	0.006
3/27/24	12:06	0.003	19.375	1	5	10.17	0.17	0.006
3/27/24	12:06	0.006	19.359	1	5	10.19	0.18	0.007
3/27/24	12:07	0.002	19.359	1	5	10.21	0.2	0.008
3/27/24	12:07	-0.002	19.359	1	5	10.22	0.22	0.008
3/27/24	12:07	-0.006	19.359	1	5	10.24	0.23	0.009
3/27/24	12:07	-0.002	19.342	1	5	10.26	0.25	0.01
3/27/24	12:07	0.001	19.342	1	5	10.27	0.27	0.01
3/27/24	12:07	0.006	19.342	1	5	10.29	0.28	0.011
3/27/24	12:07	0.003	19.342	1	5	10.31	0.3	0.011
3/27/24	12:07	0.006	19.326	1	5	10.32	0.32	0.012
3/27/24	12:07	0.005	19.326	1	5	10.34	0.33	0.013
3/27/24	12:07	-0.002	19.326	1	5	10.36	0.35	0.013
3/27/24	12:07	-0.005	19.31	1	5	10.37	0.37	0.014
3/27/24	12:07	0.001	19.31	1	5	10.39	0.38	0.015
3/27/24	12:07	-0.005	19.31	1	5	10.41	0.4	0.015
3/27/24	12:07	0.005	19.31	1	5	10.42	0.42	0.016
3/27/24	12:07	0.003	19.31	1	5	10.44	0.43	0.016
3/27/24	12:07	0.006	19.31	1	5	10.46	0.45	0.017
3/27/24	12:07	0	19.31	1	5	10.47	0.47	0.018
3/27/24	12:07	-0.005	19.293	1	5	10.49	0.48	0.018
3/27/24	12:07	-0.004	19.293	1	5	10.51	0.5	0.019
3/27/24	12:07	0.004	19.293	1	5	10.52	0.52	0.02
3/27/24	12:07	-0.005	19.277	1	5	10.54	0.53	0.02
3/27/24	12:07	0.001	19.277	1	5	10.56	0.55	0.021
3/27/24	12:07	0.006	19.277	1	5	10.57	0.57	0.022
3/27/24	12:07	0.002	19.277	1	5	10.59	0.58	0.022
3/27/24	12:07	-0.005	19.277	1	5	10.61	0.6	0.023
3/27/24	12:07	-0.005	19.277	1	5	10.62	0.62	0.023
3/27/24	12:07	0.003	19.277	1	5	10.64	0.63	0.024
3/27/24	12:07	0.006	19.277	1	5	10.66	0.65	0.025
3/27/24	12:07	0.002	19.277	1	5	10.67	0.67	0.025
3/27/24	12:07	-0.005	19.26	1	5	10.69	0.68	0.026
3/27/24	12:07	0.002	19.26	1	5	10.71	0.7	0.027
3/27/24	12:07	-0.005	19.26	1	5	10.72	0.72	0.027
3/27/24	12:07	-0.004	19.26	1	5	10.74	0.73	0.028
3/27/24	12:07	0.004	19.26	1	5	10.76	0.75	0.029
3/27/24	12:07	0.006	19.26	1	5	10.77	0.77	0.029
3/27/24	12:07	0.003	19.26	1	5	10.79	0.78	0.03
3/27/24	12:07	-0.006	19.26	1	5	10.81	0.8	0.03
3/27/24	12:07	0.001	19.26	1	5	10.82	0.82	0.031
3/27/24	12:07	-0.005	19.244	1	5	10.84	0.83	0.032
3/27/24	12:07	-0.003	19.244	1	5	10.86	0.85	0.032
3/27/24	12:07	0.004	19.244	1	5	10.87	0.87	0.033
3/27/24	12:07	0.006	19.244	1	5	10.89	0.88	0.034
